,rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
18036,18036,0.5,389,7,1,0,32,1,50,0,79,4,14,5,1,4,3,13,0,0.0
18038,18038,0.916,447,8,0,0,34,1,55,0,50,5,9,5,3,7,5,11,1,0.0
18054,18054,0.666,47,4,0,0,10,1,26,0,95,2,3,5,3,1,1,12,1,0.0
18064,18064,0.485,383,2,0,0,32,2,52,0,50,2,13,5,3,9,5,13,1,0.0
18078,18078,0.525,83,0,0,1,32,2,26,0,90,8,4,5,3,1,1,10,0,0.0
18099,18099,0.75,155,6,1,1,32,1,33,0,100,5,3,5,1,3,2,11,1,0.0
18101,18101,0.75,430,0,1,0,32,1,55,0,60,2,5,5,3,1,1,16,1,0.0
18105,18105,0.833,206,5,1,1,32,0,36,0,68,2,14,5,3,9,4,15,0,0.0
18121,18121,1.0,323,3,1,0,32,2,46,0,50,2,3,5,3,1,1,19,1,0.0
18145,18145,0.684,371,6,1,0,32,1,60,0,50,3,13,5,3,7,3,20,0,0.0
18149,18149,0.483,384,0,0,0,39,0,65,0,50,5,12,5,3,8,5,9,1,0.0
18163,18163,0.166,418,6,1,0,0,2,56,0,50,5,12,5,3,8,5,15,1,0.0
18164,18164,0.039,470,0,1,0,32,1,57,0,50,3,13,5,3,8,3,13,0,0.0
18173,18173,0.003,225,7,0,1,34,1,38,0,90,5,10,5,1,5,5,8,1,0.0
18201,18201,0.749,234,8,0,0,34,1,39,1,50,4,12,5,1,3,3,13,0,0.0
18203,18203,0.666,136,8,1,0,32,0,29,0,72,5,6,5,1,3,4,10,1,0.0
18208,18208,0.087,155,3,1,1,32,0,31,0,100,2,4,5,3,1,1,13,1,0.0
18215,18215,0.333,107,5,0,0,32,1,34,0,64,3,13,5,3,7,3,18,1,0.0
18224,18224,0.666,302,6,1,0,0,1,44,0,50,7,11,5,3,6,3,11,0,0.0
18231,18231,0.806,234,8,0,0,32,2,38,0,50,5,9,5,1,5,4,7,1,0.0
18243,18243,1.0,491,1,1,0,32,1,60,0,95,2,4,5,3,1,1,8,1,0.0
18262,18262,0.583,147,1,0,0,25,0,42,0,95,2,2,5,3,1,1,19,1,0.0
18269,18269,0.708,212,6,0,1,32,1,35,0,50,5,8,5,1,5,4,15,2,0.0
18271,18271,0.385,199,2,1,0,32,3,34,0,88,2,4,5,3,1,1,15,1,0.0
18300,18300,0.105,535,1,1,0,39,0,67,0,62,5,16,5,3,9,3,11,0,0.0
18310,18310,0.688,360,5,1,0,39,0,60,0,50,5,14,5,3,9,5,16,2,0.0
18316,18316,0.614,336,0,1,0,34,2,46,0,50,2,26,5,3,9,3,17,0,0.0
18318,18318,0.716,361,7,1,0,0,0,50,1,50,1,17,5,3,9,3,17,2,0.0
18329,18329,0.08,368,8,1,0,32,0,48,1,50,3,13,5,1,5,3,19,0,0.0
18352,18352,0.5,434,5,1,0,32,1,55,0,50,6,17,5,1,4,3,15,0,0.0
18354,18354,0.583,300,5,0,0,34,1,43,0,52,5,3,5,1,3,2,20,1,0.0
18357,18357,0.076,125,3,1,0,29,0,29,1,76,6,13,5,3,9,5,1,1,0.0
18395,18395,0.583,250,2,0,1,25,2,44,0,50,2,14,5,3,9,4,16,1,0.0
18403,18403,0.416,263,5,0,0,32,0,40,0,85,3,14,5,1,5,3,14,1,1204.0
18410,18410,0.08,226,6,1,0,32,1,36,0,100,6,18,5,3,9,5,12,2,0.0
18453,18453,0.564,341,8,0,0,32,2,47,0,50,1,17,5,3,7,3,16,2,0.0
18457,18457,0.083,107,1,0,1,32,1,27,0,64,2,3,5,3,1,1,7,1,0.0
18460,18460,0.25,155,8,1,0,32,1,58,0,100,5,9,5,1,6,4,19,1,0.0
18472,18472,1.0,226,5,1,0,32,0,39,0,50,4,13,5,1,5,3,2,1,0.0
18474,18474,0.094,181,2,0,0,32,1,34,0,72,3,13,5,1,5,3,17,1,0.0
18496,18496,0.076,125,3,1,0,29,0,29,1,76,6,13,5,3,9,5,1,1,0.0
18518,18518,0.102,348,2,1,0,32,3,47,0,55,6,16,5,1,4,3,13,0,0.0
18524,18524,0.379,398,6,1,0,34,1,52,0,50,5,15,5,3,9,3,15,0,0.0
18535,18535,0.166,319,2,1,0,27,1,53,0,50,2,4,5,3,1,1,15,1,0.0
18539,18539,0.833,382,8,1,0,39,0,73,0,50,4,13,5,1,4,3,17,1,1204.0
18544,18544,0.211,77,2,0,1,0,3,28,0,80,2,2,5,3,1,1,8,1,0.0
18545,18545,0.413,163,3,0,1,32,1,32,0,60,2,1,5,3,1,1,18,1,0.0
18556,18556,0.811,235,7,1,0,32,1,41,0,76,5,15,5,1,8,3,19,0,0.0
18558,18558,0.583,132,8,1,1,32,1,30,0,55,6,14,5,1,3,3,15,1,0.0
18588,18588,0.05,329,6,1,0,32,1,46,0,50,4,14,5,1,5,3,6,1,0.0
18600,18600,0.419,363,8,1,0,32,0,48,1,50,3,13,5,1,5,3,19,0,0.0
18615,18615,0.75,312,2,1,0,32,2,44,0,50,1,7,5,3,1,1,16,1,0.0
18650,18650,0.447,420,1,1,0,0,2,57,0,55,5,12,5,3,8,5,11,1,0.0
18656,18656,0.497,93,0,1,0,32,2,26,0,65,2,5,5,3,1,1,1,1,0.0
18682,18682,0.363,291,1,1,0,0,1,42,0,50,5,15,5,3,9,5,15,0,0.0
18687,18687,0.27,431,6,1,0,32,1,55,0,50,5,15,5,1,8,3,8,0,0.0
18689,18689,0.75,262,6,1,0,32,0,41,1,60,2,15,5,3,9,3,17,0,0.0
18692,18692,1.0,105,7,1,0,34,1,27,0,57,5,5,5,1,4,2,14,0,0.0
18694,18694,0.166,684,2,1,0,39,0,75,0,50,5,16,5,3,8,3,7,0,0.0
18696,18696,0.833,368,8,1,0,32,1,48,1,50,1,18,5,3,7,3,16,2,0.0
18712,18712,0.282,213,6,1,0,32,1,36,0,52,5,6,5,1,4,2,17,1,0.0
18723,18723,0.749,589,7,1,0,39,0,77,0,60,5,11,5,1,5,5,7,0,0.0
18729,18729,0.775,109,2,0,1,32,1,31,0,76,1,5,5,3,1,1,18,1,0.0
18759,18759,0.45,69,3,1,1,32,1,24,0,76,5,7,5,1,4,4,11,1,0.0
18777,18777,0.916,62,6,1,1,32,1,26,0,85,5,9,5,1,5,5,19,1,0.0
18809,18809,0.25,351,5,1,0,32,1,47,0,57,4,14,5,1,4,3,3,1,0.0
18813,18813,0.217,97,0,0,0,25,2,35,0,95,2,2,5,3,1,1,14,1,0.0
18819,18819,0.333,335,8,1,0,29,0,51,0,50,7,15,5,1,4,3,16,1,0.0
18830,18830,0.077,159,7,0,1,32,1,32,0,68,5,7,5,1,5,2,7,1,1204.0
18831,18831,0.068,477,6,0,0,32,1,58,0,50,3,15,5,1,5,3,17,0,0.0
18836,18836,0.806,349,1,1,0,29,1,47,0,50,2,15,5,3,9,3,18,2,0.0
18843,18843,0.127,184,1,1,0,34,1,33,0,59,6,13,5,1,2,3,12,2,0.0
18866,18866,0.499,533,5,1,0,0,2,64,0,50,5,11,5,1,6,5,13,1,0.0
18867,18867,0.021,236,8,1,0,32,1,42,0,76,5,9,5,1,5,5,18,1,0.0
18885,18885,0.416,435,7,1,0,34,0,56,1,50,5,16,5,1,8,3,15,0,0.0
18902,18902,0.916,517,2,1,0,0,2,62,0,50,5,15,5,3,9,3,15,0,0.0
18906,18906,0.023,137,8,0,1,32,1,31,0,76,5,8,5,1,5,5,10,1,0.0
18921,18921,0.583,95,7,1,0,32,1,36,0,100,5,10,5,1,5,5,10,1,1204.0
18922,18922,0.083,376,7,0,1,32,0,64,0,56,5,8,5,1,5,4,19,0,0.0
18953,18953,0.25,319,6,0,0,0,2,45,0,50,4,14,5,1,5,3,12,1,0.0
18960,18960,0.499,523,8,0,1,0,2,61,0,50,5,12,5,3,7,3,14,1,0.0
18966,18966,0.916,184,7,1,1,32,0,34,0,76,1,16,5,3,9,3,16,0,0.0
18977,18977,0.416,237,6,0,1,32,1,38,0,68,5,7,5,1,4,4,19,1,0.0
18984,18984,0.083,107,1,0,1,32,1,27,0,64,2,3,5,3,1,1,7,1,0.0
18986,18986,0.557,163,2,0,0,32,0,33,0,68,6,14,5,1,3,3,16,2,0.0
18988,18988,0.087,239,7,1,0,34,1,44,1,60,5,14,5,3,8,3,20,0,0.0
18998,18998,0.442,79,4,0,1,32,1,24,0,100,2,4,5,3,1,1,7,1,0.0
19007,19007,0.187,324,6,0,0,32,1,54,0,50,1,15,5,3,8,3,16,2,0.0
19008,19008,0.666,451,8,0,0,34,0,58,0,50,6,12,5,1,1,3,6,2,0.0
19067,19067,0.222,97,8,1,0,32,1,27,0,90,5,10,5,1,6,5,14,0,0.0
19099,19099,0.177,394,5,1,0,32,0,51,0,50,7,9,5,1,5,4,19,1,0.0
19101,19101,0.721,347,8,1,0,0,2,47,0,62,5,11,5,3,7,3,12,1,0.0
19113,19113,1.0,345,8,0,0,34,1,47,0,57,5,10,5,1,4,4,16,0,0.0
19114,19114,0.333,303,3,1,1,32,1,44,0,50,1,5,5,3,1,1,7,1,0.0
19119,19119,0.191,227,3,0,0,32,1,41,0,72,4,11,5,1,4,5,16,1,0.0
19152,19152,0.83,382,8,1,0,32,1,58,0,50,5,10,5,1,4,5,14,1,0.0
19162,19162,0.136,82,8,0,1,34,1,25,0,95,6,12,5,1,2,3,13,1,0.0
19169,19169,0.117,609,5,1,0,39,0,71,0,50,5,17,5,3,9,3,16,2,0.0
19170,19170,0.416,190,4,1,1,29,2,34,0,76,5,12,5,3,8,4,6,1,0.0
19201,19201,0.293,590,8,1,0,39,0,73,0,50,4,12,5,1,4,3,19,1,0.0
19204,19204,0.749,397,5,1,0,32,0,52,0,50,7,9,5,1,5,4,19,1,0.0
19206,19206,0.401,394,2,1,0,29,2,51,0,53,2,4,5,3,1,1,17,1,1418.610272
19221,19221,0.316,74,2,0,1,0,1,24,0,76,2,5,5,3,1,1,17,1,0.0
19222,19222,0.997,105,7,0,1,27,1,26,0,68,5,6,5,1,4,2,17,1,0.0
19225,19225,0.111,442,8,1,0,13,2,63,0,50,6,18,5,3,9,5,5,0,0.0
19235,19235,0.517,26,0,1,1,32,1,25,0,100,1,5,5,3,1,1,17,0,0.0
19246,19246,0.527,283,5,1,0,32,0,54,0,50,4,12,5,1,4,3,17,1,0.0
19288,19288,0.692,299,2,1,1,32,1,47,0,52,5,15,5,3,8,3,12,1,0.0
19308,19308,0.456,253,6,1,0,32,1,42,0,50,5,15,5,1,8,5,19,1,0.0
19321,19321,0.106,329,6,0,0,32,2,49,0,50,4,13,5,1,5,3,10,1,0.0
19328,19328,1.0,150,5,0,1,34,1,33,0,95,5,11,5,1,7,5,18,0,0.0
19333,19333,0.916,289,5,0,0,34,0,42,0,90,7,9,5,1,5,4,18,1,0.0
19335,19335,0.92,491,5,1,0,44,2,58,0,72,4,15,5,1,5,3,20,1,0.0
19353,19353,1.0,463,5,0,0,32,0,56,0,72,6,18,5,3,9,5,6,0,0.0
19400,19400,0.166,584,1,1,0,39,0,72,0,57,5,16,5,3,9,3,12,0,0.0
19421,19421,0.833,417,6,1,0,25,3,53,0,50,4,13,5,1,5,3,5,0,0.0
19435,19435,0.695,247,7,1,1,32,1,39,0,85,3,14,5,1,4,3,18,0,0.0
19441,19441,0.75,505,2,1,0,0,2,60,0,50,5,17,5,3,9,3,17,0,0.0
19442,19442,0.401,296,6,1,0,32,0,46,0,50,5,13,5,3,8,3,17,1,1.0
19450,19450,0.499,142,1,1,0,20,0,50,0,54,5,14,5,3,9,3,7,0,0.0
19451,19451,0.196,94,0,1,0,32,1,29,0,100,6,13,5,1,3,0,13,1,0.0
19460,19460,0.666,343,4,1,1,0,2,50,0,95,1,16,5,3,8,3,2,2,2346.0
19475,19475,0.666,111,5,0,0,32,1,34,0,60,3,13,5,3,7,3,18,1,0.0
19481,19481,0.035,138,1,1,1,32,0,29,0,95,2,15,5,3,8,3,16,0,0.0
19490,19490,0.457,280,2,1,0,27,2,44,0,50,7,11,5,1,5,5,18,1,0.0
19497,19497,0.557,163,2,0,0,32,0,33,0,68,6,14,5,1,3,3,16,2,0.0
19513,19513,0.102,243,7,1,1,32,1,38,0,62,3,14,5,1,4,3,6,1,0.0
19521,19521,0.749,522,8,1,0,39,0,65,0,50,1,14,5,3,8,3,5,0,0.0
19545,19545,0.833,125,7,1,1,32,1,29,0,118,5,12,5,1,7,5,12,2,0.0
19563,19563,0.499,239,8,1,0,32,1,48,0,76,5,11,5,1,5,5,20,1,0.0
19568,19568,0.25,406,8,1,0,32,0,51,0,50,7,15,5,1,8,3,12,2,0.0
19585,19585,0.457,280,2,1,0,27,2,44,0,50,7,11,5,1,5,5,18,1,0.0
19601,19601,0.166,276,2,0,0,0,0,41,1,50,1,4,5,3,1,1,6,1,0.0
19611,19611,0.349,104,8,1,0,32,1,29,0,95,5,9,5,1,5,5,18,1,0.0
19613,19613,0.368,332,5,1,0,32,1,49,0,57,3,12,5,1,2,3,15,1,0.0
19634,19634,0.05,447,7,0,0,39,0,82,0,50,5,14,5,1,6,3,20,1,0.0
19647,19647,0.318,167,8,1,0,32,1,40,0,60,7,8,5,1,4,4,13,1,0.0
19652,19652,0.319,666,6,1,0,39,0,73,0,50,5,11,5,1,5,5,18,1,0.0
19659,19659,0.028,379,3,1,0,34,2,49,0,50,7,16,5,3,8,3,15,0,0.0
19662,19662,0.249,64,7,1,0,32,0,24,0,85,5,9,5,1,5,4,19,1,0.0
19696,19696,0.083,339,0,1,0,25,2,47,0,92,5,20,5,3,9,3,9,0,0.0
19703,19703,0.963,355,6,1,0,34,2,49,0,50,4,12,5,1,4,3,17,1,0.0
19704,19704,0.196,255,5,1,0,25,3,39,0,50,4,14,5,1,5,3,5,1,0.0
19743,19743,0.666,493,1,1,0,34,0,60,0,53,3,14,5,3,8,3,8,2,0.0
19752,19752,0.292,83,7,1,0,10,1,25,0,118,5,8,5,1,5,4,12,1,0.0
19766,19766,0.25,486,1,0,0,32,0,60,0,80,2,4,5,3,1,1,17,0,0.0
19784,19784,0.405,305,7,1,0,32,1,48,0,50,5,8,5,1,5,5,20,1,0.0
19789,19789,0.25,40,2,1,1,32,1,41,1,95,1,14,5,3,9,4,7,0,0.0
19794,19794,1.0,463,5,0,0,32,0,56,0,72,6,18,5,3,9,5,6,0,0.0
19799,19799,0.002,408,3,1,0,32,1,52,0,50,5,15,5,3,9,5,7,2,0.0
19805,19805,0.519,173,5,1,1,34,1,32,0,95,2,14,5,3,9,4,20,2,0.0
19816,19816,0.033,535,2,1,0,39,0,62,0,50,5,17,5,3,9,3,18,2,0.0
19846,19846,0.75,147,4,1,1,32,0,30,0,67,5,12,5,3,9,4,16,0,0.0
19848,19848,0.083,290,8,1,0,32,2,55,0,50,3,14,5,1,3,3,17,0,0.0
19852,19852,0.75,151,6,1,0,32,0,39,0,90,5,9,5,1,7,5,6,1,0.0
19867,19867,0.719,156,4,1,1,32,1,32,1,50,2,3,5,3,1,1,16,0,0.0
19877,19877,0.11,185,6,1,0,32,0,35,0,72,7,10,5,1,5,4,12,1,0.0
19921,19921,0.083,183,7,1,0,32,2,34,0,76,5,10,5,1,5,4,18,2,0.0
19936,19936,0.196,184,7,1,0,32,2,34,0,76,5,10,5,1,5,4,18,2,0.0
19955,19955,0.25,271,7,1,0,32,2,41,0,93,4,13,5,1,5,3,18,1,0.0
19960,19960,0.5,219,6,1,1,32,1,37,0,54,5,9,5,1,5,5,8,2,0.0
19971,19971,0.5,196,4,1,0,32,1,35,0,64,3,13,5,1,5,3,16,1,0.0
19985,19985,1.0,368,8,1,0,25,1,49,0,50,6,18,5,3,9,3,3,0,0.0
19986,19986,0.542,92,6,1,1,32,1,32,0,100,5,10,5,1,5,5,17,1,0.0
19989,19989,0.583,411,7,1,0,39,0,55,0,50,5,13,5,1,7,3,14,1,0.0
19992,19992,0.407,176,1,1,0,34,0,33,0,80,7,15,5,3,8,5,2,0,0.0
19997,19997,0.666,268,5,1,0,32,2,41,0,64,5,9,5,1,5,4,12,1,0.0
20019,20019,0.75,527,2,1,0,32,1,67,0,50,7,14,5,3,8,5,15,0,0.0
20044,20044,0.333,163,2,1,0,32,1,31,0,89,6,12,5,1,2,3,5,0,0.0
20066,20066,0.002,327,6,1,0,32,2,50,0,60,5,13,5,1,7,3,16,1,0.0
20095,20095,0.386,150,8,1,1,32,1,30,0,112,1,17,5,3,8,3,16,1,512.44
20115,20115,0.564,341,8,0,0,32,2,47,0,50,1,17,5,3,7,3,16,2,0.0
20125,20125,0.094,186,4,1,1,32,0,33,0,50,6,12,5,3,9,5,16,1,0.0
20133,20133,0.249,156,4,1,1,32,0,31,0,63,5,12,5,3,9,4,16,0,0.0
20183,20183,0.393,333,8,1,0,32,1,45,0,50,5,11,5,1,5,3,19,1,0.0
20304,20304,0.805,397,5,0,0,29,0,52,1,50,5,12,5,1,7,3,15,1,0.0
20331,20331,0.48,321,7,1,0,32,0,53,1,50,3,13,5,1,4,3,19,1,0.0
20336,20336,0.833,425,2,1,0,32,0,77,1,50,2,2,5,3,1,1,7,1,0.0
20342,20342,0.368,221,6,0,1,34,1,38,0,95,5,10,5,1,5,5,8,1,0.0
20343,20343,0.042,326,7,1,0,32,1,49,0,94,5,14,5,1,7,3,7,1,0.0
20352,20352,0.003,72,1,1,1,32,0,24,0,80,2,12,5,1,8,4,15,0,0.0
20360,20360,1.0,129,2,1,1,34,1,30,0,80,5,8,5,1,4,4,12,0,0.0
20364,20364,0.275,321,4,1,0,32,2,44,0,50,3,13,5,1,5,3,9,0,0.0
20374,20374,0.833,228,8,1,0,32,1,41,0,100,5,13,5,1,7,3,12,1,0.0
20375,20375,0.833,627,8,1,0,39,0,76,0,50,0,10,5,1,5,5,14,1,0.0
20380,20380,0.381,201,8,1,1,20,0,35,1,60,7,12,5,1,6,3,20,1,0.0
20398,20398,0.218,402,3,0,0,29,1,53,0,50,8,5,5,1,1,0,17,1,0.0
20417,20417,0.75,352,4,1,0,32,1,51,0,80,2,3,5,3,1,1,13,1,0.0
20470,20470,0.083,180,1,0,0,32,1,33,0,68,2,3,5,3,1,1,6,1,0.0
20480,20480,0.333,335,2,1,0,32,1,47,0,50,6,15,5,3,9,5,11,2,0.0
20485,20485,1.0,218,7,0,0,32,0,44,0,50,5,15,5,1,7,5,15,0,0.0
20493,20493,0.827,166,2,0,0,0,1,32,0,76,1,14,5,3,9,4,16,0,0.0
20575,20575,0.927,316,5,1,0,28,2,48,0,90,5,14,5,3,8,3,10,1,0.0
20593,20593,0.249,179,3,1,1,44,2,33,0,85,5,13,5,3,9,4,8,1,0.0
20613,20613,0.166,241,8,1,0,0,1,38,0,50,4,13,5,1,5,3,20,1,0.0
20629,20629,0.293,590,8,1,0,39,0,73,0,50,4,12,5,1,4,3,19,1,0.0
20638,20638,0.401,296,6,1,0,32,0,46,0,50,5,13,5,3,8,3,17,1,0.0
20641,20641,0.5,171,4,1,0,32,2,44,0,95,4,11,5,1,4,5,14,1,0.0
20643,20643,0.416,313,6,1,0,32,1,49,0,50,5,9,5,1,5,5,1,1,0.0
20649,20649,0.666,277,7,1,1,32,0,50,0,80,0,12,5,1,2,0,9,1,0.0
20653,20653,0.676,466,7,1,0,39,0,66,0,55,5,16,5,3,9,3,5,0,0.0
20660,20660,0.666,375,1,0,0,0,3,49,0,50,5,16,5,3,9,3,17,0,0.0
20663,20663,0.41,292,4,1,0,30,2,47,0,95,1,15,5,3,8,3,13,0,0.0
20668,20668,0.128,481,4,1,0,32,1,61,0,62,7,16,5,3,9,3,17,2,0.0
20671,20671,0.485,383,2,0,0,32,2,52,0,50,2,13,5,3,9,5,13,1,0.0
20680,20680,0.525,297,0,0,0,32,0,42,0,54,3,15,5,3,7,3,18,1,0.0
20684,20684,0.195,291,6,1,0,32,2,42,0,85,4,14,5,1,5,3,6,0,0.0
20687,20687,0.749,567,2,0,0,39,0,66,0,50,2,13,5,3,9,5,7,0,0.0
20698,20698,0.155,116,5,1,0,34,0,27,1,60,2,14,5,3,9,4,20,1,0.0
20699,20699,0.294,0,1,1,0,10,1,19,0,100,1,9,5,3,5,1,16,2,0.0
20719,20719,0.883,36,5,0,0,32,1,41,0,85,6,13,5,1,3,3,13,2,1326.0
20737,20737,0.666,270,0,1,0,32,2,41,0,51,1,16,5,3,8,3,9,0,0.0
20739,20739,0.366,224,6,1,0,32,1,49,0,50,5,15,5,1,8,3,11,2,0.0
20740,20740,0.014,419,3,0,0,29,2,56,0,58,6,11,5,3,9,4,8,1,0.0
20757,20757,0.188,307,5,0,0,0,2,49,0,85,3,13,5,1,4,3,8,1,0.0
20762,20762,0.166,122,7,0,1,10,1,30,0,85,5,10,5,1,5,5,1,1,0.0
20784,20784,0.189,404,4,0,0,0,2,56,0,53,6,15,5,3,9,4,16,0,0.0
20796,20796,1.0,304,8,1,0,29,2,46,0,50,3,12,5,1,4,3,11,1,0.0
20804,20804,0.628,412,1,0,1,20,0,53,0,90,6,13,5,3,9,5,16,0,0.0
20829,20829,0.166,201,2,1,0,32,0,34,0,76,5,16,5,3,8,3,16,2,0.0
20832,20832,0.249,522,8,1,1,39,0,63,0,50,5,11,5,3,7,3,2,1,0.0
20836,20836,0.435,336,8,0,0,32,2,47,0,50,1,17,5,3,7,3,16,2,0.0
20839,20839,0.411,132,1,0,0,32,2,29,0,54,5,12,5,3,8,4,16,1,0.0
20904,20904,0.098,300,6,1,0,25,2,46,0,50,5,13,5,3,8,3,17,1,0.0
20911,20911,0.503,53,0,0,1,32,2,27,0,100,5,13,5,3,9,4,11,2,4241.691843
20924,20924,0.5,389,7,1,0,32,1,50,0,79,4,14,5,1,4,3,13,0,0.0
20951,20951,0.392,391,8,1,0,32,0,60,0,50,5,7,5,1,3,3,20,1,0.0
20958,20958,0.499,290,2,1,0,32,1,42,0,57,4,13,5,3,7,3,8,0,0.0
20959,20959,0.277,450,6,1,0,0,1,55,0,95,6,13,5,1,2,3,13,2,0.0
20964,20964,0.749,397,5,1,0,32,0,52,0,50,7,9,5,1,5,4,19,1,0.0
20971,20971,0.083,255,3,1,0,32,0,42,0,58,6,16,5,3,9,4,11,0,0.0
20995,20995,0.806,157,7,1,0,32,2,40,0,68,6,17,5,1,4,3,17,0,12128.98822
21009,21009,0.019,346,3,1,0,0,2,58,0,50,5,12,5,3,8,3,18,1,0.0
21030,21030,0.806,157,7,1,0,32,2,40,0,68,6,17,5,1,4,3,17,0,10294.09
21036,21036,0.833,461,3,1,0,27,2,62,0,55,4,13,5,1,5,3,11,1,0.0
21047,21047,0.333,303,3,1,1,32,1,44,0,50,1,5,5,3,1,1,7,1,0.0
21104,21104,0.666,360,6,1,0,34,0,54,0,50,5,11,5,1,6,5,5,1,0.0
21106,21106,0.833,686,3,1,0,39,0,75,0,50,5,16,5,3,8,3,7,0,0.0
21120,21120,0.916,130,0,1,1,32,1,28,0,90,2,2,5,3,1,1,8,1,1227.16858
21140,21140,0.789,238,8,1,1,32,1,38,0,60,2,11,5,3,6,5,13,1,0.0
21151,21151,0.25,564,2,0,0,39,0,66,0,50,2,13,5,3,9,5,7,0,0.0
21159,21159,0.78,652,5,0,0,39,0,74,0,50,5,10,5,1,5,5,17,1,1286.234139
21166,21166,0.349,210,2,0,1,32,1,35,0,90,2,2,5,3,1,1,16,0,0.0
21212,21212,0.038,30,8,1,1,32,0,26,0,90,5,7,5,1,3,4,11,1,0.0
21216,21216,0.344,766,7,1,0,39,0,85,1,50,7,9,5,1,5,4,14,1,0.0
21224,21224,0.833,445,6,0,0,39,0,73,0,50,5,9,5,1,5,4,17,0,0.0
21263,21263,0.827,82,5,1,0,32,1,26,0,90,5,10,5,1,5,5,13,1,0.0
21327,21327,0.666,366,2,0,0,32,1,50,0,60,2,3,5,3,1,1,16,1,0.0
21330,21330,0.333,145,1,1,1,32,0,37,1,51,1,15,5,3,8,3,16,0,0.0
21337,21337,0.993,473,2,1,0,20,0,57,0,50,2,4,5,3,1,1,16,0,0.0
21379,21379,0.088,232,0,1,0,32,1,37,0,50,6,19,5,3,8,3,14,2,0.0
21403,21403,0.068,477,6,0,0,32,1,58,0,50,3,15,5,1,5,3,17,0,0.0
21407,21407,0.184,217,2,0,1,32,1,36,0,85,2,2,5,3,1,1,16,0,0.0
21418,21418,0.961,75,0,0,0,20,0,29,0,100,0,12,5,1,1,0,8,1,0.0
21419,21419,0.083,258,0,1,0,0,2,40,0,54,1,5,5,3,1,1,6,2,0.0
21458,21458,0.503,340,0,1,0,32,1,51,1,50,2,5,5,3,1,1,15,1,0.0
21464,21464,0.946,427,8,1,0,0,0,55,0,50,7,12,5,1,4,3,12,1,1326.0
21465,21465,0.333,633,2,1,0,39,0,81,0,50,2,4,5,3,1,1,15,2,0.0
21466,21466,0.013,103,8,1,1,32,0,27,1,85,5,9,5,1,4,4,15,0,0.0
21473,21473,0.852,24,1,1,1,10,1,20,0,90,1,5,5,3,1,1,19,1,0.0
21476,21476,0.583,457,6,1,0,39,0,68,1,50,5,10,5,1,5,5,17,2,0.0
21480,21480,0.475,306,1,0,0,32,0,43,0,56,2,13,5,3,9,5,16,0,0.0
21516,21516,0.083,300,6,0,0,34,0,43,0,85,7,9,5,1,5,4,18,1,0.0
21536,21536,0.749,354,5,1,0,32,1,48,0,54,4,14,5,1,4,3,3,1,0.0
21541,21541,0.499,241,4,1,0,29,0,38,0,50,3,13,5,1,5,3,18,1,0.0
21578,21578,0.404,114,6,0,0,32,0,28,1,76,6,18,5,1,4,3,11,1,0.0
21583,21583,0.749,99,6,1,0,32,1,30,0,72,5,4,5,1,3,2,11,1,0.0
21588,21588,0.211,271,2,1,0,32,2,40,0,68,7,17,5,3,8,3,17,2,0.0
21590,21590,0.002,159,8,0,1,32,1,39,0,80,2,11,5,3,6,5,10,1,0.0
21601,21601,0.25,438,7,1,0,32,2,54,0,50,4,12,5,1,4,3,17,0,0.0
21612,21612,0.499,515,2,1,0,32,1,61,0,95,6,14,5,1,3,3,16,1,663.0
21626,21626,0.916,447,8,0,0,34,1,55,0,50,5,9,5,3,7,5,11,1,2077.780967
21629,21629,0.058,151,6,1,0,7,1,33,0,85,7,10,5,1,4,5,14,1,0.0
21632,21632,0.025,57,5,1,0,32,1,25,0,112,5,11,5,1,7,5,18,1,0.0
21637,21637,0.749,489,1,0,0,32,0,60,0,76,2,4,5,3,1,1,17,0,0.0
21641,21641,0.379,47,8,1,0,32,0,24,0,100,5,7,5,1,4,4,14,2,0.0
21646,21646,0.486,332,1,0,0,39,0,67,1,50,2,3,5,3,1,1,16,1,436.8824773
21671,21671,0.057,136,4,1,0,32,1,29,0,68,2,14,5,3,9,4,14,1,0.0
21675,21675,0.315,368,6,1,0,32,1,60,0,50,3,13,5,3,7,3,20,0,0.0
21676,21676,0.009,213,5,0,0,32,2,38,0,106,3,13,5,1,5,3,15,1,0.0
21725,21725,0.083,312,3,1,0,32,2,52,0,50,3,12,5,1,3,3,15,1,0.0
21731,21731,0.166,421,8,1,0,0,2,56,0,51,6,14,5,3,9,5,16,1,0.0
21747,21747,0.083,468,4,1,0,32,1,57,0,50,5,11,5,3,8,4,15,1,0.0
21780,21780,0.118,77,3,1,1,34,0,24,1,72,2,2,5,3,1,1,15,1,0.0
21786,21786,0.304,140,6,1,0,32,2,31,0,64,5,13,5,3,9,5,15,1,0.0
21793,21793,0.572,142,0,1,0,32,2,30,0,72,2,5,5,3,1,1,12,0,0.0
21796,21796,0.143,475,3,1,0,32,1,58,0,69,1,5,5,3,1,1,8,1,0.0
21797,21797,0.416,73,1,0,0,32,1,25,0,95,1,4,5,3,1,1,4,1,0.0
21803,21803,0.117,198,1,1,0,32,1,34,0,90,2,2,5,3,1,1,8,1,0.0
